Cause,Fire-Start-Date,Initial-Report-Date,Fire-Out-Date,Region,Zone,County,Municipality,NFFL-Fuel-Model,Complex-Type,Acreage,Latitude,Longitude,Ownership,Reporting-Ranger,Fire-Report-Method,New-York-Zip-Codes,Counties,NYS-Municipal-Boundaries,duration,oil,year,month,day
Prescribed Fire,04/05/2010,04/05/2010,04/05/2010,6,6C,Oneida,WESTERN, 2 - Grass - Understory,4.0,10.0,43.361,-75.361,State Forest/RF Area,"Prunoske,James ",Other,1390.0,625.0,980.0,0.0,2,2010,04,05
Debris Burning,03/19/2010,03/19/2010,03/19/2010,9,9A,Allegany,AMITY, 9 - Timber - Medium Hardwood Litter,5.0,11.0,42.20996,-78.06442,Private Property,"Liebig,Peter J",Landowner,1759.0,2031.0,470.0,0.0,9,2010,03,19
Campfire,04/03/2010,04/06/2010,04/03/2010,7,7A,Oswego,CONSTANTIA, 1 - Grass - Light,5.0,0.5,43.2446,-76.05805,Wildlife Management Area,"Jackson,Scott ",Fire Department,361.0,2135.0,249.0,0.0,1,2010,04,03
Power line,04/07/2010,04/07/2010,04/09/2010,5,5F,Washington,SALEM, 8 - Timber - Light Hardwood Litter,4.0,1.0,43.10032,-73.27389000000002,Private Property,"Bodnar,Michael J",911 Dispatch,151.0,2184.0,717.0,2.0,8,2010,04,07
Incendiary,04/07/2010,04/07/2010,04/08/2010,1,1A,Suffolk,BABYLON, 8 - Timber - Light Hardwood Litter,5.0,0.2,40.76759000000001,-73.30741,Unique Area,"Thompson,Michael W",Fire Department,1110.0,2179.0,1023.0,1.0,8,2010,04,07
Incendiary,04/07/2010,04/07/2010,04/08/2010,1,1A,Suffolk,BROOKHAVEN, 8 - Timber - Light Hardwood Litter,5.0,1.0,40.88141,-72.91068,Other Government,"Thompson,Michael W",Fire Department,1644.0,2179.0,1022.0,1.0,8,2010,04,07
Incendiary,04/07/2010,04/07/2010,04/11/2010,3,3B,Putnam,PATTERSON, 9 - Timber - Medium Hardwood Litter,5.0,10.0,41.4723,-73.56286,Private Property,"Baldwin,Benjamin C",911 Dispatch,990.0,627.0,101.0,4.0,9,2010,04,07
Debris Burning,04/08/2010,04/08/2010,04/08/2010,7,7A,Chenango,GREENE,13 - Slash Heavy,5.0,0.2,42.38221,-75.80449,Private Property,"Oldroyd,Jeremy M",911 Dispatch,393.0,2037.0,270.0,0.0,1,2010,04,08
Debris Burning,04/07/2010,04/07/2010,04/07/2010,3,3B,Dutchess,PINE PLAINS, 5 - Brush - Continuous but Light,5.0,3.9,41.98893,-73.67809,Private Property,"Temple,Jenifer L",Landowner,1002.0,2040.0,590.0,0.0,5,2010,04,07
Debris Burning,04/08/2010,04/08/2010,04/09/2010,8,8A,Steuben,THURSTON, 9 - Timber - Medium Hardwood Litter,4.0,3.5,42.19714000000001,-77.25845,Private Property,"Carpenter,Timothy J",911 Dispatch,1767.0,2178.0,24.0,1.0,9,2010,04,08
Debris Burning,04/03/2010,04/03/2010,04/03/2010,7,7A,Oswego,VOLNEY, 1 - Grass - Light,4.0,0.6,43.38542,-76.33746,Private Property,"Jackson,Scott ",Other,623.0,2135.0,231.0,0.0,1,2010,04,03
Debris Burning,04/11/2010,04/11/2010,04/11/2010,7,7A,Oswego,PALERMO, 8 - Timber - Light Hardwood Litter,4.0,0.3,43.33011,-76.23491999999997,Private Property,"Jackson,Scott ",911 Dispatch,355.0,2135.0,238.0,0.0,8,2010,04,11
Debris Burning,04/12/2010,04/12/2010,04/12/2010,8,8A,Steuben,PULTENEY, 9 - Timber - Medium Hardwood Litter,5.0,2.2,42.53432,-77.22488,Private Property,"Carpenter,Timothy J",911 Dispatch,59.0,2178.0,26.0,0.0,9,2010,04,12
Smoking,04/12/2010,04/12/2010,04/13/2010,3,3B,Orange,DEERPARK, 9 - Timber - Medium Hardwood Litter,5.0,3.1,41.4331,-74.73611,Private Property,"Deslauriers,Jacob P",911 Dispatch,1097.0,2134.0,878.0,1.0,9,2010,04,12
Smoking,04/14/2010,04/14/2010,04/14/2010,8,8A,Steuben,CORNING, 9 - Timber - Medium Hardwood Litter,4.0,2.0,42.18339,-77.06007,Private Property,"Meehan,William X",911 Dispatch,1774.0,2178.0,38.0,0.0,9,2010,04,14
Smoking,04/14/2010,04/14/2010,04/15/2010,8,8A,Steuben,HORNBY, 9 - Timber - Medium Hardwood Litter,4.0,7.0,42.18905,-77.05019,Private Property,"Meehan,William X",911 Dispatch,1774.0,2178.0,49.0,1.0,9,2010,04,14
Incendiary,04/14/2010,04/14/2010,04/15/2010,4,4B,Schoharie,MIDDLEBURGH, 9 - Timber - Medium Hardwood Litter,5.0,1.0,42.62834,-74.41224,Private Property,"Henry,William ",911 Dispatch,17.0,629.0,151.0,1.0,9,2010,04,14
Debris Burning,04/15/2010,04/15/2010,04/15/2010,4,4A,Rensselaer,SCHAGHTICOKE, 1 - Grass - Light,4.0,0.3,42.88498,-73.6008,Private Property,"Hess,Joseph C",911 Dispatch,1401.0,2138.0,113.0,0.0,1,2010,04,15
Debris Burning,04/20/2010,04/20/2010,04/20/2010,5,5D,Fulton,STRATFORD, 8 - Timber - Light Hardwood Litter,5.0,1.0,43.13906,-74.64484,Private Property,"Ploss,John ",Fire Department,1378.0,2085.0,378.0,0.0,8,2010,04,20
Debris Burning,04/20/2010,04/20/2010,04/20/2010,7,7A,Oswego,PALERMO, 2 - Grass - Understory,4.0,1.2,43.32372,-76.31586,Private Property,"Jackson,Scott ",911 Dispatch,623.0,2135.0,233.0,0.0,2,2010,04,20
Miscellaneous,04/20/2010,04/20/2010,04/20/2010,4,4A,Albany,COEYMANS, 7 - Brush - Understory,4.0,1.4,42.51453,-73.90535,Private Property,"Glesmann,Karen ",Fire Department,1175.0,2030.0,836.0,0.0,7,2010,04,20
Prescribed Fire,04/20/2010,04/21/2010,04/20/2010,4,4A,Albany,COLONIE, 9 - Timber - Medium Hardwood Litter,4.0,13.8,42.73983,-73.88665999999998,Other Government,"Kilpeck,Patrick K",Other,72.0,2030.0,834.0,0.0,9,2010,04,20
Incendiary,04/22/2010,04/22/2010,04/22/2010,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,5.0,3.0,40.90304,-72.82721,State Forest/RF Area,"Burkholder,Michael W",911 Dispatch,1607.0,2179.0,1017.0,0.0,1,2010,04,22
Power line,04/14/2010,04/14/2010,04/15/2010,5,5F,Washington,FORT ANN, 8 - Timber - Light Hardwood Litter,5.0,1.2,43.42723,-73.58413,Private Property,"Donegan,Evan F",Supervisor,91.0,2184.0,727.0,1.0,8,2010,04,14
Debris Burning,04/22/2010,04/22/2010,04/23/2010,8,8A,Steuben,DANSVILLE, 8 - Timber - Light Hardwood Litter,5.0,0.5,42.49878,-77.68909000000002,Private Property,"Farrand,Anne M",911 Dispatch,1754.0,2178.0,37.0,1.0,8,2010,04,22
Prescribed Fire,04/22/2010,04/22/2010,04/23/2010,3,3B,Ulster,ROCHESTER,10 - Timber  - Heavy Litter/Downed Fuels,5.0,10.0,41.75157,-74.17148,Private Property,"Mecus,Robert ",Other,190.0,2182.0,413.0,1.0,1,2010,04,22
Incendiary,04/22/2010,04/22/2010,04/23/2010,1,1A,Suffolk,BROOKHAVEN, 4 - Brush - Heavy/Volatile,5.0,1.2,40.89817,-72.91781999999998,Wildlife Management Area,"Slade,Kevin M",Fire Department,1636.0,2179.0,1022.0,1.0,4,2010,04,22
Campfire,04/21/2010,04/22/2010,04/23/2010,3,3A,Sullivan,MAMAKATING,10 - Timber  - Heavy Litter/Downed Fuels,5.0,49.0,41.60303,-74.51185,Private Property,"Miller,Gary W",Fire Department,780.0,2180.0,653.0,2.0,1,2010,04,21
Railroad,04/22/2010,04/22/2010,04/22/2010,4,4A,Columbia,KINDERHOOK, 8 - Timber - Light Hardwood Litter,4.0,2.5,42.46556,-73.68323000000002,Private Property,"DiCintio,Chris A",911 Dispatch,14.0,619.0,514.0,0.0,8,2010,04,22
Prescribed Fire,04/23/2010,04/23/2010,04/24/2010,4,4A,Albany,COLONIE, 8 - Timber - Light Hardwood Litter,5.0,20.9,42.73902,-73.88110999999998,Unique Area,"Henry,William ",Other,72.0,2030.0,834.0,1.0,8,2010,04,23
Smoking,04/23/2010,04/23/2010,05/02/2010,5,5E,Warren,HORICON, 8 - Timber - Light Hardwood Litter,5.0,3.0,43.71217,-73.79658,Private Property,"Donegan,Evan F",911 Dispatch,786.0,2183.0,822.0,9.0,8,2010,04,23
Debris Burning,04/23/2010,04/23/2010,04/23/2010,8,8A,Chemung,VETERAN, 8 - Timber - Light Hardwood Litter,4.0,8.0,42.27558,-76.74649000000002,Private Property,"Meehan,William X",911 Dispatch,1770.0,2036.0,475.0,0.0,8,2010,04,23
Debris Burning,04/23/2010,04/23/2010,04/23/2010,9,9A,Allegany,BOLIVAR, 8 - Timber - Light Hardwood Litter,4.0,1.0,42.04029,-78.07925,Private Property,"Thaine,Justin T",911 Dispatch,1696.0,2031.0,465.0,0.0,8,2010,04,23
Debris Burning,04/24/2010,04/24/2010,04/25/2010,7,7A,Oswego,SCRIBA,10 - Timber  - Heavy Litter/Downed Fuels,4.0,2.6,43.41599,-76.39646,Private Property,"Jackson,Scott ",911 Dispatch,667.0,2135.0,232.0,1.0,1,2010,04,24
Lightning,04/22/2010,04/25/2010,04/23/2010,1,1A,Suffolk,BROOKHAVEN, 8 - Timber - Light Hardwood Litter,5.0,4.5,40.88966,-72.7456,Unique Area,"Thompson,Michael W",Ranger Patrol,1607.0,2179.0,1022.0,1.0,8,2010,04,22
Debris Burning,03/19/2010,03/19/2010,03/19/2010,8,8A,Steuben,BATH, 1 - Grass - Light,5.0,0.5,42.2791,-77.27537,Private Property,"Carpenter,Timothy J",911 Dispatch,910.0,2178.0,46.0,0.0,1,2010,03,19
Smoking,04/29/2010,04/29/2010,04/30/2010,8,8A,Ontario,CANADICE,12 - Slash - Medium,4.0,3.0,42.67783,-77.51831999999997,Private Property,"Dormer,Patrick G",Ranger Patrol,411.0,2133.0,781.0,1.0,1,2010,04,29
Prescribed Fire,04/30/2010,04/30/2010,04/30/2010,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,5.0,13.0,40.90351,-72.81725,Wildlife Management Area,"Gallagher,Bryan ",Other,1607.0,2179.0,1017.0,0.0,1,2010,04,30
Incendiary,04/29/2010,04/29/2010,04/30/2010,3,3A,Sullivan,BETHEL, 8 - Timber - Light Hardwood Litter,5.0,9.4,41.62565,-74.93143,Private Property,"Seeley,Jason J",911 Dispatch,1036.0,2180.0,664.0,1.0,8,2010,04,29
Smoking,05/01/2010,05/01/2010,05/03/2010,5,5E,Warren,QUEENSBURY, 9 - Timber - Medium Hardwood Litter,5.0,1.0,43.43922,-73.66875999999998,Private Property,"Donegan,Evan F",Sheriff,128.0,2183.0,818.0,2.0,9,2010,05,01
Campfire,05/01/2010,05/01/2010,05/03/2010,9,9A,Allegany,WELLSVILLE, 9 - Timber - Medium Hardwood Litter,4.0,6.3,42.1195,-77.87125999999998,Private Property,"Thaine,Justin T",Fire Department,923.0,2031.0,446.0,2.0,9,2010,05,01
Smoking,05/04/2010,05/04/2010,05/04/2010,8,8A,Steuben,CORNING, 8 - Timber - Light Hardwood Litter,5.0,1.0,42.11549,-76.9952,Private Property,"Meehan,William X",911 Dispatch,1774.0,2178.0,38.0,0.0,8,2010,05,04
Prescribed Fire,05/05/2010,05/05/2010,05/05/2010,4,4A,Albany,COLONIE, 3 - Grass - Heavy,5.0,6.0,42.72966,-73.88109,Other Government,"DiCintio,Chris A",DEC Dispatch,72.0,2030.0,832.0,0.0,3,2010,05,05
Power line,05/07/2010,05/07/2010,05/08/2010,4,4A,Columbia,AUSTERLITZ, 8 - Timber - Light Hardwood Litter,5.0,2.0,42.3484,-73.48078000000002,State Forest/RF Area,"DiCintio,Chris A",911 Dispatch,1145.0,619.0,526.0,1.0,8,2010,05,07
Campfire,05/07/2010,05/07/2010,05/08/2010,5,5E,Warren,QUEENSBURY,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.1,43.2979,-73.68132,Private Property,"Donegan,Evan F",Other,785.0,2183.0,818.0,1.0,1,2010,05,07
Incendiary,05/07/2010,05/08/2010,05/08/2010,9,9A,Cattaraugus,SALAMANCA, 8 - Timber - Light Hardwood Litter,3.0,1.1,42.15966,-78.7099,Native American Lands,"Rogers,Robert C",911 Dispatch,1741.0,2034.0,377.0,1.0,8,2010,05,07
Debris Burning,05/01/2010,05/09/2010,05/01/2010,9,9A,Cattaraugus,PERRYSBURG, 1 - Grass - Light,4.0,7.6,42.52033,-79.01685,Private Property,"Rogers,Robert C",911 Dispatch,529.0,2034.0,345.0,0.0,1,2010,05,01
Incendiary,05/09/2010,05/09/2010,05/09/2010,1,1A,Suffolk,HUNTINGTON, 7 - Brush - Understory,5.0,7.5,40.80415,-73.42844000000002,Other Government,"Burkholder,Michael W",Fire Department,1122.0,2179.0,1020.0,0.0,7,2010,05,09
Campfire,05/22/2010,05/22/2010,05/23/2010,7,7A,Oswego,RICHLAND, 9 - Timber - Medium Hardwood Litter,4.0,2.0,43.58969,-76.19775,Wildlife Management Area,"Jackson,Scott ",911 Dispatch,683.0,2135.0,235.0,1.0,9,2010,05,22
Smoking,05/24/2010,05/24/2010,05/24/2010,5,5D,Hamilton,INDIAN LAKE, 5 - Brush - Continuous but Light,1.0,0.1,43.85424,-74.42326,Private Property,"George,Greg ",Sheriff,790.0,622.0,867.0,0.0,5,2010,05,24
Lightning,05/27/2010,05/27/2010,05/28/2010,5,5E,Warren,HORICON, 9 - Timber - Medium Hardwood Litter,5.0,0.3,43.74083,-73.7584,Private Property,"Kabrehl,Charles J",911 Dispatch,786.0,2183.0,822.0,1.0,9,2010,05,27
Lightning,05/27/2010,05/27/2010,05/29/2010,5,5E,Warren,JOHNSBURG,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.3,43.625,-73.93666,Private Property,"Ovitt,Steven ",911 Dispatch,104.0,2183.0,821.0,2.0,1,2010,05,27
Lightning,05/27/2010,05/27/2010,06/03/2010,5,5B,Essex,CHESTERFIELD, 8 - Timber - Light Hardwood Litter,3.0,7.0,44.43484,-73.43009,Private Property,"Praczkajlo,Robert ",Other,273.0,2084.0,454.0,7.0,8,2010,05,27
Debris Burning,05/28/2010,05/28/2010,05/29/2010,5,5D,Hamilton,LAKE PLEASANT, 6 - Brush - Mixed/Regeneration,5.0,0.5,43.50173,-74.38792,Private Property,"Eakin,Thomas ",911 Dispatch,1409.0,622.0,865.0,1.0,6,2010,05,28
Lightning,05/28/2010,05/28/2010,06/01/2010,5,5F,Saratoga,CORINTH,11 - Slash - Light,4.0,3.0,43.20646,-73.80675,Private Property,"Hitt,Suzanne M",Ranger Patrol,807.0,2141.0,1008.0,4.0,1,2010,05,28
Lightning,05/28/2010,05/28/2010,05/30/2010,5,5B,Clinton,MOOERS, 8 - Timber - Light Hardwood Litter,5.0,5.4,44.95252,-73.75005,Forest Preserve,"Russell,David G",911 Dispatch,283.0,2038.0,6.0,2.0,8,2010,05,28
Smoking,05/25/2010,05/25/2010,05/25/2010,8,8A,Ontario,SOUTH BRISTOL, 1 - Grass - Light,5.0,0.1,42.72283,-77.36066,Other Government,"Dormer,Patrick G",Other,323.0,2133.0,800.0,0.0,1,2010,05,25
Campfire,05/29/2010,05/29/2010,05/31/2010,5,5E,Warren,QUEENSBURY, 9 - Timber - Medium Hardwood Litter,4.0,0.5,43.3275,-73.75504000000002,Other Government,"Donegan,Evan F",Sheriff,785.0,2183.0,818.0,2.0,9,2010,05,29
Incendiary,05/30/2010,05/30/2010,06/04/2010,5,5A,Franklin,TUPPER LAKE, 8 - Timber - Light Hardwood Litter,5.0,3.5,44.21828,-74.41554000000002,Private Property,"Harjung,Julie ",Other,305.0,621.0,178.0,5.0,8,2010,05,30
Debris Burning,05/31/2010,05/31/2010,05/31/2010,5,5B,Franklin,MALONE, 8 - Timber - Light Hardwood Litter,4.0,0.1,44.71654,-74.27939,Private Property,"Gliddi,Thomas ",911 Dispatch,278.0,621.0,182.0,0.0,8,2010,05,31
Lightning,05/31/2010,05/31/2010,06/01/2010,5,5E,Essex,TICONDEROGA,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.5,43.8756,-73.5986,Wilderness Area,"Russell,Edwin ",Fire Department,154.0,2084.0,420.0,1.0,1,2010,05,31
Equipment,05/31/2010,05/31/2010,06/01/2010,5,5E,Warren,JOHNSBURG,10 - Timber  - Heavy Litter/Downed Fuels,4.0,0.5,43.64395,-73.9877,Private Property,"Ovitt,Steven ",Sheriff,135.0,2183.0,821.0,1.0,1,2010,05,31
Smoking,05/31/2010,05/31/2010,06/01/2010,5,5E,Warren,CHESTER, 9 - Timber - Medium Hardwood Litter,4.0,1.3,43.7029,-73.81622,Private Property,"Kabrehl,Charles J",Other,141.0,2183.0,825.0,1.0,9,2010,05,31
Incendiary,06/25/2010,06/28/2010,06/25/2010,8,8A,Steuben,ERWIN, 9 - Timber - Medium Hardwood Litter,5.0,0.1,42.17257,-77.10051999999997,State Forest/RF Area,"Farrand,Anne M",Fire Department,56.0,2178.0,36.0,0.0,9,2010,06,25
Incendiary,06/27/2010,06/28/2010,06/28/2010,1,1A,Suffolk,BROOKHAVEN, 6 - Brush - Mixed/Regeneration,5.0,1.0,40.89415,-72.9324,Other Not Classified,"Slade,Kevin M",Ranger Patrol,1636.0,2179.0,1022.0,1.0,6,2010,06,27
Fireworks,07/03/2010,07/04/2010,07/05/2010,3,3A,Ulster,SAUGERTIES, 8 - Timber - Light Hardwood Litter,1.0,0.5,42.05937,-73.99382,Private Property,"Miller,Gary W",911 Dispatch,330.0,2182.0,411.0,2.0,8,2010,07,03
Incendiary,07/04/2010,07/04/2010,07/09/2010,1,1A,Suffolk,BROOKHAVEN, 4 - Brush - Heavy/Volatile,5.0,14.7,40.84796,-72.85703000000002,Private Property,"Gallagher,Bryan ",Fire Department,1607.0,2179.0,1022.0,5.0,4,2010,07,04
Incendiary,07/05/2010,07/05/2010,07/06/2010,1,1A,Suffolk,BROOKHAVEN, 7 - Brush - Understory,5.0,2.0,40.90028,-72.87693,Private Property,"Burkholder,Michael W",Fire Department,1644.0,2179.0,1022.0,1.0,7,2010,07,05
Incendiary,07/06/2010,07/06/2010,07/14/2010,1,1A,Suffolk,HUNTINGTON, 6 - Brush - Mixed/Regeneration,3.0,10.9,40.78796,-73.2951,State Forest/RF Area,"Burkholder,Michael W",911 Dispatch,1121.0,2179.0,1020.0,8.0,6,2010,07,06
Children,07/05/2010,07/06/2010,07/15/2010,3,3B,Orange,PORT JERVIS, 8 - Timber - Light Hardwood Litter,5.0,1.0,41.38072,-74.69023,Private Property,"Rinaldi,Paul G",Ranger Patrol,1091.0,2134.0,888.0,10.0,8,2010,07,05
Incendiary,07/07/2010,07/07/2010,07/26/2010,3,3B,Orange,DEERPARK, 9 - Timber - Medium Hardwood Litter,5.0,8.5,41.37544000000001,-74.65822,State Forest/RF Area,"Rinaldi,Paul G",911 Dispatch,1091.0,2134.0,878.0,19.0,9,2010,07,07
Lightning,07/09/2010,07/09/2010,07/09/2010,6,6B,Lewis,GREIG, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.7022,-75.28527,Forest Preserve,"Hubschmitt,Michael ",Ranger Patrol,769.0,623.0,623.0,0.0,8,2010,07,09
Incendiary,07/06/2010,07/06/2010,07/10/2010,1,1A,Suffolk,BROOKHAVEN, 7 - Brush - Understory,5.0,0.2,40.8916,-72.9311,Private Property,"Thompson,Michael W",911 Dispatch,1636.0,2179.0,1022.0,4.0,7,2010,07,06
Incendiary,07/09/2010,07/12/2010,07/12/2010,1,1A,Suffolk,RIVERHEAD, 7 - Brush - Understory,5.0,0.2,40.91182,-72.72586,State Forest/RF Area,"Thompson,Michael W",DEC Dispatch,1534.0,2179.0,1022.0,3.0,7,2010,07,09
Incendiary,07/18/2010,07/18/2010,07/22/2010,1,1A,Suffolk,HUNTINGTON, 7 - Brush - Understory,5.0,1.5,40.78796,-73.2951,State Forest/RF Area,"Burkholder,Michael W",Ranger Patrol,1121.0,2179.0,1020.0,4.0,7,2010,07,18
Incendiary,07/23/2010,07/23/2010,07/23/2010,1,1A,Suffolk,SOUTHAMPTON, 8 - Timber - Light Hardwood Litter,5.0,0.2,40.8772,-72.65916,Unique Area,"Thompson,Michael W",Ranger Patrol,1530.0,2179.0,1013.0,0.0,8,2010,07,23
Incendiary,07/27/2010,07/27/2010,07/29/2010,1,1A,Suffolk,BROOKHAVEN, 6 - Brush - Mixed/Regeneration,5.0,3.1,40.90971,-72.92036,Wildlife Management Area,"Slade,Kevin M",Fire Department,1644.0,2179.0,1022.0,2.0,6,2010,07,27
Incendiary,08/03/2010,08/03/2010,08/03/2010,1,1A,Suffolk,BROOKHAVEN, 7 - Brush - Understory,5.0,0.3,40.91767,-72.85215,Wildlife Management Area,"Slade,Kevin M",Ranger Patrol,1644.0,2179.0,1022.0,0.0,7,2010,08,03
Campfire,08/04/2010,08/04/2010,08/05/2010,3,3B,Dutchess,FISHKILL, 8 - Timber - Light Hardwood Litter,1.0,0.1,41.46965,-73.97301999999998,OPR&HP (State Parks),"Tyrrell,Gregory ",911 Dispatch,950.0,2040.0,596.0,1.0,8,2010,08,04
Fireworks,08/05/2010,08/05/2010,08/06/2010,3,3B,Orange,MONTGOMERY, 1 - Grass - Light,5.0,0.5,41.48094,-74.19985,State Forest/RF Area,"Baldwin,Benjamin C",Other,981.0,2134.0,893.0,1.0,1,2010,08,05
Smoking,08/06/2010,08/06/2010,08/12/2010,5,5E,Essex,SCHROON,10 - Timber  - Heavy Litter/Downed Fuels,4.0,0.6,43.88391,-73.69925,Private Property,"Russell,Edwin ",911 Dispatch,139.0,2084.0,427.0,6.0,1,2010,08,06
Campfire,08/06/2010,08/06/2010,08/09/2010,5,5F,Washington,FORT ANN, 8 - Timber - Light Hardwood Litter,5.0,0.3,43.49458,-73.58739,Forest Preserve,"Laczko,Jaime ",Ranger Patrol,91.0,2184.0,727.0,3.0,8,2010,08,06
Smoking,08/06/2010,08/06/2010,08/13/2010,3,3B,Dutchess,BEEKMAN, 9 - Timber - Medium Hardwood Litter,4.0,1.1,41.56239,-73.69474,Other Government,"Tyrrell,Gregory ",911 Dispatch,975.0,2040.0,600.0,7.0,9,2010,08,06
Children,08/07/2010,08/07/2010,08/13/2010,3,3A,Ulster,WAWARSING,10 - Timber  - Heavy Litter/Downed Fuels,4.0,2.7,41.74672,-74.49549,Private Property,"Dawson,Robert B",911 Dispatch,122.0,2182.0,407.0,6.0,1,2010,08,07
Campfire,08/05/2010,08/09/2010,08/17/2010,3,3B,Orange,TUXEDO,10 - Timber  - Heavy Litter/Downed Fuels,4.0,9.0,41.18722,-74.19211,Private Property,"Deslauriers,Jacob P",911 Dispatch,1653.0,2134.0,887.0,12.0,1,2010,08,05
Power line,08/10/2010,08/10/2010,08/10/2010,8,8A,Steuben,URBANA, 8 - Timber - Light Hardwood Litter,5.0,0.2,42.37929000000001,-77.2044,Private Property,"Carpenter,Timothy J",911 Dispatch,1779.0,2178.0,21.0,0.0,8,2010,08,10
Incendiary,08/10/2010,08/10/2010,08/10/2010,1,1A,Suffolk,BROOKHAVEN, 8 - Timber - Light Hardwood Litter,5.0,0.1,40.89277,-72.93268,Wildlife Management Area,"Slade,Kevin M",911 Dispatch,1636.0,2179.0,1022.0,0.0,8,2010,08,10
Incendiary,08/13/2010,08/13/2010,08/16/2010,3,3B,Putnam,PUTNAM VALLEY, 9 - Timber - Medium Hardwood Litter,4.0,0.5,41.41838,-73.86310999999998,OPR&HP (State Parks),"Baldwin,Benjamin C",Supervisor,1341.0,627.0,99.0,3.0,9,2010,08,13
Incendiary,08/13/2010,08/14/2010,08/16/2010,6,6B,Lewis,NEW BREMEN, 9 - Timber - Medium Hardwood Litter,4.0,3.0,43.82011,-75.38294,State Forest/RF Area,"Evans,Luke ",911 Dispatch,571.0,623.0,615.0,3.0,9,2010,08,13
Incendiary,08/17/2010,08/17/2010,08/23/2010,2,2A,Richmond,STATEN ISLAND, 9 - Timber - Medium Hardwood Litter,5.0,1.3,40.51719,-74.22615,State Forest/RF Area,"Thomes,Howard F",Ranger Patrol,612.0,2139.0,585.0,6.0,9,2010,08,17
Campfire,08/18/2010,08/18/2010,08/18/2010,5,5C,Essex,KEENE, 9 - Timber - Medium Hardwood Litter,5.0,0.1,44.14481,-73.73676999999998,Wilderness Area,"Platt,Charles ",Other,272.0,2084.0,442.0,0.0,9,2010,08,18
Miscellaneous,08/16/2010,08/16/2010,08/18/2010,5,5D,Hamilton,INDIAN LAKE, 7 - Brush - Understory,1.0,0.1,43.85724,-74.46579,Private Property,"Lomnitzer,Bruce D",DEC Dispatch,790.0,622.0,867.0,2.0,7,2010,08,16
Debris Burning,08/18/2010,08/18/2010,08/20/2010,6,6A,St. Lawrence,ROSSIE, 6 - Brush - Mixed/Regeneration,1.0,3.0,44.35,-75.69,Private Property,"Hoag,Gregory W",Fire Department,1527.0,2140.0,311.0,2.0,6,2010,08,18
Campfire,08/18/2010,08/18/2010,08/21/2010,5,5A,Franklin,SANTA CLARA, 5 - Brush - Continuous but Light,1.0,0.1,44.31321,-74.35122,Forest Preserve,"Harjung,Julie ",DEC Dispatch,303.0,621.0,179.0,3.0,5,2010,08,18
Campfire,08/19/2010,08/19/2010,08/19/2010,5,5A,Franklin,HARRIETSTOWN, 2 - Grass - Understory,5.0,0.1,44.29655,-74.22218000000002,Forest Preserve,"Burns,Kevin ",DEC Dispatch,274.0,621.0,183.0,0.0,2,2010,08,19
Incendiary,08/20/2010,08/20/2010,08/20/2010,6,6B,Lewis,NEW BREMEN, 9 - Timber - Medium Hardwood Litter,1.0,0.5,43.83,-75.383,Private Property,"Hubschmitt,Michael ",911 Dispatch,571.0,623.0,615.0,0.0,9,2010,08,20
Campfire,08/20/2010,08/21/2010,08/23/2010,6,6C,Herkimer,WEBB, 7 - Brush - Understory,4.0,0.1,43.78906,-74.8478,State Forest/RF Area,"Evans,Luke ",Other,544.0,2088.0,666.0,3.0,7,2010,08,20
Campfire,08/15/2010,08/26/2010,08/27/2010,5,5D,Hamilton,INLET, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.76984,-74.67978000000002,Forest Preserve,"Scott,Jason S",Other,565.0,622.0,866.0,12.0,8,2010,08,15
Campfire,08/27/2010,08/27/2010,08/31/2010,5,5E,Warren,QUEENSBURY, 8 - Timber - Light Hardwood Litter,4.0,0.1,43.34963,-73.70554,Private Property,"Donegan,Evan F",911 Dispatch,785.0,2183.0,818.0,4.0,8,2010,08,27
Campfire,08/28/2010,08/30/2010,08/31/2010,5,5A,Franklin,HARRIETSTOWN, 9 - Timber - Medium Hardwood Litter,5.0,0.1,44.28971,-74.16888,Forest Preserve,"Harjung,Julie ",DEC Dispatch,303.0,621.0,183.0,3.0,9,2010,08,28
Campfire,09/04/2010,09/04/2010,09/05/2010,5,5F,Washington,FORT ANN, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.5463,-73.58856,Forest Preserve,"Laczko,Jaime ",Ranger Patrol,91.0,2184.0,727.0,1.0,8,2010,09,04
Lightning,09/04/2010,09/05/2010,09/07/2010,5,5F,Washington,PUTNAM,11 - Slash - Light,5.0,0.8,43.71831,-73.44247,Private Property,"Schwab,Werner J",Fire Department,142.0,2184.0,718.0,3.0,1,2010,09,04
Miscellaneous,09/05/2010,09/06/2010,09/06/2010,5,5D,Hamilton,INDIAN LAKE, 8 - Timber - Light Hardwood Litter,2.0,0.1,43.72168,-74.25681,Private Property,"Lomnitzer,Bruce D",DEC Dispatch,103.0,622.0,867.0,1.0,8,2010,09,05
